SubjID,Cond_code,Seq,FB,All_Items,Correct,Incorr,Remain,ElapTime,psgpH,psgpM,psgpL,EAPsgp,Form_Order,Level_Code,PreACorr,PostBCorr,PreBCorr,PostACorr,PreScore,PostScore,Gender,Race,Gain,scale_prea,scale_preb,pre_scaled,scale_posta,scale_postb,post_scaled,gain_scaled
S052,1,2,2,63,20,14,29,0.00000036169,0.747,0.252,0.001,0.253,1,2,6,18,-999,-999,6,18,F,8,12,44,-999,44,-999,78,78,34
S053,2,2,1,63,12,51,0,0.02482638889,0.000,0.001,0.999,1.999,2,2,-999,-999,7,4,7,4,F,2,-3,-999,45,45,39,-999,39,-6
S054,3,1,1,63,34,29,0,0.02466435185,0.690,0.307,0.003,0.313,1,2,16,16,-999,-999,16,16,F,7,0,70,-999,70,-999,69,69,-1
S055,1,2,2,63,8,55,0,0.03074074074,0.000,0.000,1.000,2.000,2,2,-999,-999,7,9,7,9,M,7,2,-999,48,48,53,-999,53,5
S056,2,2,1,63,20,43,0,0.02325231481,0.000,0.026,0.974,1.974,1,2,5,9,-999,-999,5,9,M,8,4,41,-999,41,-999,51,51,10
S057,3,1,1,63,25,28,10,0.00000036169,0.258,0.622,0.119,0.861,2,2,-999,-999,7,15,7,15,M,7,8,-999,48,48,67,-999,67,19
S058,1,2,2,63,33,30,0,0.03111111111,0.005,0.562,0.433,1.428,1,2,10,9,-999,-999,10,9,F,4,-1,56,-999,56,-999,54,54,-2
S059,2,2,1,63,20,37,6,0.00000036169,0.000,0.053,0.947,1.947,2,2,-999,-999,7,10,7,10,F,6,3,-999,45,45,53,-999,53,8
S060,3,1,1,63,28,35,0,0.02981481481,0.049,0.903,0.048,0.999,1,2,8,8,-999,-999,8,8,F,7,0,50,-999,50,-999,51,51,1
S061,1,2,2,63,21,42,0,0.02189814815,0.001,0.096,0.903,1.903,2,2,-999,-999,11,8,11,8,F,3,-3,-999,60,60,50,-999,50,-10
S062,2,2,1,63,12,49,0,0.01207175926,0.000,0.002,0.998,1.998,1,2,8,10,-999,-999,8,10,M,3,2,47,-999,47,-999,54,54,7
S063,1,2,2,63,21,42,0,0.02629629630,0.033,0.794,0.173,1.139,1,2,8,10,-999,-999,8,10,M,7,2,50,-999,50,-999,54,54,4
S064,2,2,1,63,36,27,0,0.02681712963,0.953,0.047,0.000,0.047,2,2,-999,-999,14,16,14,16,F,3,2,-999,69,69,73,-999,73,4
S065,3,1,1,63,30,33,0,0.02281250000,0.001,0.337,0.661,1.660,1,2,7,13,-999,-999,7,13,F,2,6,47,-999,47,-999,66,66,19
S066,1,2,2,63,19,44,0,0.01184027778,0.000,0.116,0.884,1.884,2,2,-999,-999,4,9,4,9,M,6,5,-999,39,39,53,-999,53,14
S067,2,2,1,63,6,54,0,0.00000008038,0.000,0.000,1.000,2.000,1,2,9,7,-999,-999,9,7,M,3,-2,50,-999,50,-999,48,48,-2
S068,3,1,1,63,16,47,0,0.01488425926,0.000,0.007,0.993,1.993,2,2,-999,-999,9,8,9,8,F,6,-1,-999,54,54,50,-999,50,-4
S074,1,2,2,63,20,43,0,0.02182870370,0.000,0.009,0.991,1.991,1,2,12,12,-999,-999,12,12,M,6,0,61,-999,61,-999,60,60,-1
S075,2,2,1,63,35,27,1,0.00000024113,0.559,0.436,0.005,0.446,2,2,-999,-999,7,13,7,13,F,2,6,-999,45,45,61,-999,61,16
S076,3,1,1,63,33,30,0,0.02900462963,0.175,0.765,0.060,0.885,1,2,9,8,-999,-999,9,8,F,7,-1,53,-999,53,-999,51,51,-2
S077,1,2,2,63,21,42,0,0.02065972222,0.003,0.425,0.572,1.569,1,2,16,17,-999,-999,16,17,M,2,1,70,-999,70,-999,75,75,5
S078,2,2,1,63,20,43,0,0.01915509259,0.000,0.060,0.940,1.940,1,2,10,9,-999,-999,10,9,M,6,-1,53,-999,53,-999,54,54,1
S079,3,1,1,63,27,36,0,0.02409722222,0.031,0.590,0.379,1.348,2,2,-999,-999,15,11,15,11,M,7,-4,-999,72,72,56,-999,56,-16
S080,1,2,2,63,9,54,0,0.00974537037,0.000,0.000,1.000,2.000,2,2,-999,-999,6,7,6,7,M,7,1,-999,45,45,47,-999,47,2
S081,2,2,1,63,21,42,0,0.02702546296,0.000,0.047,0.953,1.953,1,2,12,10,-999,-999,12,10,F,7,-2,61,-999,61,-999,54,54,-7
S082,3,1,1,63,18,45,0,0.00815972222,0.000,0.020,0.980,1.980,2,2,-999,-999,10,4,10,4,M,7,-6,-999,57,57,39,-999,39,-18
S083,1,2,2,63,13,50,0,0.01310185185,0.000,0.001,0.999,1.999,2,2,-999,-999,12,6,12,6,M,7,-6,-999,63,63,41,-999,41,-22
S084,2,2,1,63,26,37,0,0.02508101852,0.000,0.013,0.987,1.987,1,2,11,7,-999,-999,11,7,M,7,-4,56,-999,56,-999,48,48,-8
S085,3,1,1,63,25,38,0,0.02625000000,0.001,0.259,0.739,1.738,2,2,-999,-999,8,10,8,10,M,6,2,-999,51,51,56,-999,56,5
S086,1,2,2,63,36,27,0,0.02148148148,0.752,0.248,0.000,0.248,2,2,-999,-999,12,14,12,14,M,7,2,-999,63,63,67,-999,67,4
S087,2,2,1,63,22,41,0,0.01297453704,0.000,0.164,0.836,1.835,1,2,10,8,-999,-999,10,8,M,7,-2,53,-999,53,-999,51,51,-2
S088,3,1,1,63,20,43,0,0.02427083333,0.000,0.016,0.984,1.984,2,2,-999,-999,8,11,8,11,M,7,3,-999,48,48,58,-999,58,10
S089,1,2,2,63,14,35,14,0.00000036169,0.000,0.012,0.987,1.987,2,2,-999,-999,5,12,5,12,M,7,7,-999,42,42,61,-999,61,19
S090,2,2,1,63,13,50,0,0.01081018519,0.000,0.000,1.000,2.000,1,2,10,9,-999,-999,10,9,M,7,-1,56,-999,56,-999,51,51,-5
S091,3,1,1,63,21,42,0,0.02834490741,0.000,0.001,0.999,1.999,2,2,-999,-999,11,14,11,14,M,4,3,-999,57,57,67,-999,67,10
S097,1,2,2,63,30,33,0,0.02619212963,0.287,0.705,0.009,0.722,1,2,12,10,-999,-999,12,10,F,2,-2,61,-999,61,-999,57,57,-4
S098,2,2,1,63,18,45,0,0.02275462963,0.000,0.001,0.999,1.999,2,2,-999,-999,9,13,9,13,F,2,4,-999,54,54,64,-999,64,10
S099,3,1,1,63,20,43,0,0.00953703704,0.001,0.276,0.723,1.722,1,2,5,9,-999,-999,5,9,F,3,4,41,-999,41,-999,51,51,10
S100,1,2,2,63,14,49,0,0.00868055556,0.000,0.002,0.998,1.998,2,2,-999,-999,12,11,12,11,F,7,-1,-999,63,63,58,-999,58,-5
S101,2,2,1,63,14,49,0,0.01166666667,0.000,0.001,0.999,1.999,1,2,11,7,-999,-999,11,7,F,2,-4,56,-999,56,-999,48,48,-8
S102,3,1,1,63,33,30,0,0.01929398148,0.082,0.875,0.043,0.960,2,2,-999,-999,12,15,12,15,F,7,3,-999,63,63,67,-999,67,4
S103,1,2,2,63,32,18,13,0.00000036169,0.870,0.130,0.000,0.131,1,2,13,18,-999,-999,13,18,F,6,5,61,-999,61,-999,78,78,17
S104,2,2,1,63,9,54,0,0.02109953704,0.000,0.000,1.000,2.000,2,2,-999,-999,5,9,5,9,F,7,4,-999,42,42,53,-999,53,11
S105,3,1,1,63,23,40,0,0.02027777778,0.001,0.372,0.627,1.626,1,2,8,10,-999,-999,8,10,F,7,2,50,-999,50,-999,54,54,4
S106,1,2,2,63,33,22,8,0.00000036169,0.277,0.712,0.011,0.734,2,2,-999,-999,10,16,10,16,F,8,6,-999,57,57,73,-999,73,16
S107,2,2,1,63,11,46,1,0.00567129630,0.000,0.001,0.999,1.999,1,2,8,6,-999,-999,8,6,M,7,-2,47,-999,47,-999,45,45,-2
S108,3,1,1,63,35,22,6,0.00000036169,0.844,0.155,0.000,0.156,2,2,-999,-999,10,16,10,16,F,6,6,-999,57,57,73,-999,73,16
S109,1,2,2,63,37,26,0,0.02924768519,0.689,0.310,0.001,0.312,1,2,8,9,-999,-999,8,9,M,6,1,50,-999,50,-999,54,54,4
S110,2,2,1,63,42,19,2,0.02840277778,0.915,0.085,0.000,0.085,2,2,-999,-999,12,17,12,17,M,6,5,-999,63,63,76,-999,76,13
S111,3,1,1,63,22,41,0,0.00060185185,0.000,0.002,0.998,1.998,1,2,10,9,-999,-999,10,9,M,5,-1,56,-999,56,-999,54,54,-2
S112,1,2,2,63,21,15,27,0.00000036169,0.694,0.304,0.001,0.307,2,2,-999,-999,9,13,9,13,M,3,4,-999,54,54,61,-999,61,7
